user_id,weights
2,"(0.4268336, 0.57316643)"
3,"(0.52504236, 0.47495764)"
4,"(0.4556135, 0.5443865)"
5,"(0.45965818, 0.54034185)"
6,"(0.4954881, 0.5045119)"
7,"(0.45292023, 0.54707974)"
11,"(0.4768513, 0.5231487)"
13,"(0.41131276, 0.58868724)"
15,"(0.5412566, 0.45874336)"
16,"(0.49601567, 0.5039843)"
18,"(0.44674638, 0.5532536)"
19,"(0.44043145, 0.5595685)"
21,"(0.51954895, 0.48045108)"
22,"(0.45553413, 0.5444659)"
23,"(0.5312911, 0.46870884)"
24,"(0.4903497, 0.50965035)"
26,"(0.539146, 0.46085396)"
27,"(0.44767618, 0.5523238)"
28,"(0.50330544, 0.49669454)"
29,"(0.5123379, 0.48766205)"
30,"(0.46493837, 0.53506166)"
31,"(0.5398518, 0.46014822)"
33,"(0.47340232, 0.5265977)"
34,"(0.45470005, 0.54529995)"
35,"(0.4834743, 0.51652575)"
36,"(0.46530882, 0.53469115)"
38,"(0.50217956, 0.49782044)"
39,"(0.4663643, 0.5336357)"
41,"(0.50205207, 0.497948)"
42,"(0.47823405, 0.521766)"
45,"(0.4850234, 0.51497656)"
46,"(0.5121263, 0.48787364)"
47,"(0.44516534, 0.55483466)"
48,"(0.48516095, 0.5148391)"
49,"(0.48119804, 0.518802)"
50,"(0.48803595, 0.5119641)"
53,"(0.4441814, 0.55581856)"
54,"(0.4556802, 0.54431987)"
55,"(0.5035402, 0.49645978)"
56,"(0.48141363, 0.5185864)"
57,"(0.5224884, 0.4775116)"
58,"(0.4782314, 0.5217686)"
59,"(0.44117424, 0.55882573)"
60,"(0.47489044, 0.5251096)"
61,"(0.51627386, 0.48372614)"
62,"(0.49671978, 0.5032802)"
63,"(0.5258961, 0.474104)"
64,"(0.47445986, 0.5255401)"
65,"(0.5052844, 0.49471554)"
66,"(0.5194631, 0.48053688)"
67,"(0.52337503, 0.476625)"
68,"(0.5250944, 0.4749056)"
69,"(0.5705715, 0.4294285)"
70,"(0.48205337, 0.5179466)"
71,"(0.5283151, 0.47168484)"
73,"(0.5342328, 0.46576715)"
74,"(0.5115758, 0.48842418)"
75,"(0.48393932, 0.5160607)"
76,"(0.49217322, 0.5078268)"
77,"(0.5023253, 0.49767473)"
79,"(0.53308964, 0.4669104)"
81,"(0.47696838, 0.5230316)"
82,"(0.4696915, 0.53030854)"
83,"(0.5104065, 0.48959354)"
84,"(0.468507, 0.531493)"
85,"(0.50464225, 0.49535775)"
86,"(0.4758153, 0.52418464)"
87,"(0.47461063, 0.52538943)"
89,"(0.5370111, 0.46298888)"
90,"(0.5718992, 0.42810082)"
91,"(0.49492818, 0.5050718)"
94,"(0.5247674, 0.47523266)"
97,"(0.50044125, 0.49955875)"
98,"(0.4842982, 0.5157018)"
99,"(0.4704447, 0.52955526)"
100,"(0.5239787, 0.4760213)"
101,"(0.58024013, 0.41975984)"
102,"(0.48928455, 0.5107154)"
104,"(0.46446753, 0.53553253)"
105,"(0.52528447, 0.47471553)"
106,"(0.49234983, 0.5076502)"
107,"(0.5405775, 0.45942247)"
109,"(0.50317997, 0.49682003)"
110,"(0.48982513, 0.5101749)"
111,"(0.53054875, 0.46945128)"
114,"(0.45925474, 0.54074526)"
115,"(0.5033484, 0.4966516)"
117,"(0.54186696, 0.45813304)"
118,"(0.5445995, 0.45540056)"
120,"(0.58241826, 0.41758174)"
121,"(0.51388925, 0.48611078)"
122,"(0.40034235, 0.59965765)"
123,"(0.4756311, 0.5243689)"
125,"(0.4793308, 0.52066916)"
126,"(0.43895817, 0.56104183)"
127,"(0.47968483, 0.5203152)"
128,"(0.48372614, 0.5162738)"
